변환,CPI,Inflation_rate
2005-01,73.594,0.9838494998422040
2005-02,73.892,0.40492431448215800
2005-03,74.338,0.6035836085097170
2005-04,74.413,0.10089052705211100
2005-05,74.338,-0.10078884065957100
2005-06,74.114,-0.3013263741289630
2005-07,74.413,0.40343254985562000
2005-08,74.636,0.2996788195611
2005-09,75.008,0.4984189935151930
2005-10,74.859,-0.19864547781569500
2005-11,74.561,-0.3980817269800370
2005-12,74.785,0.3004251552420010
2006-01,75.231,0.5963762786655110
2006-02,75.381,0.19938589145431800
2006-03,75.827,0.5916610286411660
2006-04,75.902,0.09890935946299530
2006-05,76.05,0.19498827435375800
2006-06,75.902,-0.194608809993424
2006-07,76.199,0.39129403704776200
2006-08,76.645,0.5853095184976230
2006-09,76.868,0.29095179072347000
2006-10,76.496,-0.48394650569808500
2006-11,76.125,-0.48499267935577800
2006-12,76.348,0.2929392446633820
2007-01,76.496,0.1938492167443680
2007-02,77.017,0.6810813637314400
2007-03,77.464,0.5803913421712050
2007-04,77.761,0.3834039037488250
2007-05,77.836,0.09644937693702450
2007-06,77.836,0.0
2007-07,78.134,0.38285626188396800
2007-08,78.208,0.09470908951287880
2007-09,78.655,0.5715527823240590
2007-10,78.803,0.18816349882397900
2007-11,78.803,0.0
2007-12,79.101,0.37815819194702000
2008-01,79.472,0.46902061920834900
2008-02,79.771,0.37623313871553200
2008-03,80.515,0.932669767208627
2008-04,80.962,0.5551760541514070
2008-05,81.63,0.8250784318569070
2008-06,82.151,0.6382457429866540
2008-07,82.747,0.7254932989251510
2008-08,82.598,-0.18006695106771400
2008-09,82.673,0.09080123005400510
2008-10,82.598,-0.09071885621666500
2008-11,82.375,-0.2699823240272180
2008-12,82.375,0.0
2009-01,82.45,0.09104704097118170
2009-02,83.045,0.7216494845360800
2009-03,83.64,0.7164790174001960
2009-04,83.862,0.26542324246772200
2009-05,83.862,0.0
2009-06,83.788,-0.08824020414490710
2009-07,84.086,0.355659521649887
2009-08,84.384,0.3543990676212470
2009-09,84.459,0.08887940841866280
2009-10,84.235,-0.2652174427828950
2009-11,84.384,0.17688609247936700
2009-12,84.682,0.35314751611679200
2010-01,85.351,0.7900144068397010
2010-02,85.523,0.20152077890123200
2010-03,85.696,0.20228476550168100
2010-04,86.041,0.4025858849888040
2010-05,86.128,0.1011145849072030
2010-06,86.041,-0.10101244659112000
2010-07,86.214,0.2010669332062730
2010-08,86.647,0.5022386155380870
2010-09,87.337,0.7963345528408270
2010-10,87.337,0.0
2010-11,86.906,-0.4934907313051680
2010-12,87.251,0.3969806457551740
2011-01,88.288,1.188525059884690
2011-02,88.892,0.6841246828561020
2011-03,89.238,0.3892363767268090
2011-04,89.325,0.09749209977811810
2011-05,89.497,0.19255527567869600
2011-06,89.67,0.19330256880119000
2011-07,90.102,0.48176647708264600
2011-08,90.707,0.6714612328249990
2011-09,90.62,-0.0959132150771036
2011-10,90.448,-0.18980357536968500
2011-11,90.534,0.09508225720857860
2011-12,90.879,0.3810723043276450
2012-01,91.242,0.3994322120622010
2012-02,91.588,0.37921132811642400
2012-03,91.614,0.028387998427748000
2012-04,91.605,-0.00982382605279053
2012-05,91.769,0.1790295289558540
2012-06,91.639,-0.14166003770337300
2012-07,91.432,-0.2258863584281730
2012-08,91.855,0.4626389010412120
2012-09,92.512,0.715257743182196
2012-10,92.339,-0.18700276720857700
2012-11,92.011,-0.35521285697267500
2012-12,92.175,0.17823955831368600
2013-01,92.728,0.5999457553566460
2013-02,93.038,0.3343111034423310
2013-03,92.952,-0.09243534899717740
2013-04,92.823,-0.13878130648077300
2013-05,92.823,0.0
2013-06,92.71,-0.12173706947631300
2013-07,92.909,0.21464782655593600
2013-08,93.238,0.3541099355283130
2013-09,93.419,0.19412685814796900
2013-10,93.134,-0.3050771256382530
2013-11,93.116,-0.019326991216961400
2013-12,93.229,0.12135401005197700
2014-01,93.73,0.5373864355511680
2014-02,93.98,0.26672356769443800
2014-03,94.153,0.1840817195147840
2014-04,94.214,0.06478816394590580
2014-05,94.369,0.16451907359840100
2014-06,94.248,-0.1282200722694920
2014-07,94.386,0.14642220524572200
2014-08,94.551,0.1748140614074250
2014-09,94.49,-0.06451544669014990
2014-10,94.205,-0.3016192189649660
2014-11,94.015,-0.20168780850272600
2014-12,94.006,-0.00957294048822277
2015-01,94.643,0.6776163223624070
2015-02,94.587,-0.059169722007967900
2015-03,94.596,0.009515049636843460
2015-04,94.625,0.03065668738635450
2015-05,94.89,0.28005284015852900
2015-06,94.909,0.020023184740236600
2015-07,95.08,0.1801725863721960
2015-08,95.213,0.13988220445939600
2015-09,94.966,-0.25941835673699600
2015-10,94.966,0.0
2015-11,94.786,-0.1895415201229820
2015-12,95.07,0.2996223070917510
2016-01,95.232,0.17040075733669700
2016-02,95.64,0.42842741935484900
2016-03,95.393,-0.25826014219991800
2016-04,95.573,0.1886930906879860
2016-05,95.63,0.05964027497304960
2016-06,95.611,-0.019868242183407300
2016-07,95.431,-0.18826285678427100
2016-08,95.677,0.25777787092244900
2016-09,96.247,0.5957544655455170
2016-10,96.379,0.13714713185866100
2016-11,96.237,-0.14733500036315800
2016-12,96.342,0.10910564543782400
2017-01,97.366,1.0628801561105100
2017-02,97.632,0.2731959821703710
2017-03,97.565,-0.06862504097018270
2017-04,97.442,-0.12606979962076500
2017-05,97.546,0.10673015742699300
2017-06,97.338,-0.21323273122425500
2017-07,97.499,0.16540302862191300
2017-08,98.058,0.5733392137355460
2017-09,98.172,0.11625772501988600
2017-10,98.077,-0.09676893615286900
